reported_date,reported_date_year,reported_date_mon,reported_date_mon,victim_race,victim_age,victim_sex,city,lat,lon,disposition
20160906,2016,09,9,Hispanic,22,Male,New York,40.67332,-73.91539,Open/No arrest
20160906,2016,09,9,Hispanic,22,Male,New York,40.71984,-73.9624,Closed by arrest
20160907,2016,09,9,Black,33,Male,New York,40.65368,-73.96279,Open/No arrest
20160910,2016,09,9,Black,23,Male,New York,40.67531,-73.78805,Open/No arrest
20160910,2016,09,9,Black,44,Male,New York,40.72653,-73.73486,Open/No arrest
20160913,2016,09,9,Black,22,Female,New York,40.65774,-73.90914,Closed by arrest
20160913,2016,09,9,Black,45,Female,New York,40.67267,-73.86169,Closed by arrest
20160914,2016,09,9,Black,63,Male,New York,40.84889,-73.91614,Open/No arrest
20160919,2016,09,9,Black,20,Male,New York,40.6864,-73.9491,Open/No arrest
20160920,2016,09,9,Asian,36,Male,New York,40.85596,-73.8398,Open/No arrest
20160920,2016,09,9,White,60,Male,New York,40.8308,-73.82695,Open/No arrest
20160921,2016,09,9,Black,28,Male,New York,40.67117,-73.90969,Closed by arrest
20160923,2016,09,9,Black,21,Male,New York,40.81972,-73.94239,Closed by arrest
20160924,2016,09,9,Black,46,Male,New York,40.6937,-73.78092,Open/No arrest
20160926,2016,09,9,Black,47,Female,New York,40.64107,-73.96247,Closed by arrest
20160926,2016,09,9,Black,6,Male,New York,40.82066,-73.95639,Closed by arrest
20160927,2016,09,9,Hispanic,21,Male,New York,40.85238,-73.91352,Open/No arrest
20160927,2016,09,9,Black,31,Male,New York,40.67259,-73.87326,Closed by arrest
20160927,2016,09,9,Black,40,Male,New York,40.66252,-73.92701,Open/No arrest
20160927,2016,09,9,White,58,Female,New York,40.73288,-73.86033,Closed by arrest
20160928,2016,09,9,Black,38,Male,New York,40.69314,-73.94586,Closed by arrest
20160928,2016,09,9,White,25,Female,New York,40.70823,-73.91286,Closed by arrest
20160929,2016,09,9,White,35,Female,New York,40.63867,-74.02246,Open/No arrest
20160930,2016,09,9,Black,82,Female,New York,40.72045,-73.97491,Closed by arrest
20161001,2016,10,10,Black,25,Female,New York,40.65096,-73.95587,Closed by arrest
20161001,2016,10,10,Black,50,Female,New York,40.8428,-73.89708,Closed by arrest
20161001,2016,10,10,Black,27,Male,New York,40.8428,-73.89708,Closed by arrest
20161002,2016,10,10,Hispanic,36,Male,New York,40.87674,-73.90623,Closed by arrest
20161002,2016,10,10,White,23,Male,New York,40.56883,-74.12118,Closed by arrest
20161003,2016,10,10,Black,39,Male,New York,40.81052,-73.93821,Closed by arrest
